typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H5","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","74417857","false","8","kg","74417857","false","74417857","false","0","false","342040710","326930994.22","342040710","0","false","true",
"C","A","20210101","2021","52","2021","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H5","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2777052","false","9","1000u","2371260","false","2777052","false","0","false","133973790","121861459.96","133973790","0","false","true",
"C","A","20210101","2021","52","2021","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H5","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26518723","false","8","kg","26518723","false","26518723","false","0","false","167833527","159595735.53","167833527","0","false","true",
"C","A","20210101","2021","52","2021","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H5","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","51691085","false","8","kg","51691085","false","51691085","false","0","false",,"260941693","260941693","0","false","true",
"C","A","20210101","2021","52","2021","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H5","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37311977","false","-1","N/A","0","false","37311977","false","0","false",,"342236355","342236355","0","false","true",
"C","A","20210101","2021","52","2021","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H5","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25567945","false","8","kg","25567945","false","25567945","false","0","false",,"178501014","178501014","0","false","true",
"C","A","20220101","2022","52","2022","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","89769084","false","8","kg","89769084","false","89769084","false","0","false","381935338","362892894","381935338","0","false","true",
"C","A","20220101","2022","52","2022","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4571429","false","9","1000u","3855495","false","4571429","false","0","false","199983974","180981160.12","199983974","0","false","true",
"C","A","20220101","2022","52","2022","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29002375","false","8","kg","29002375","false","29002375","false","0","false","169477526","157524733.01","169477526","0","false","true",
"C","A","20220101","2022","52","2022","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","56409492","false","8","kg","56409492","false","56409492","false","0","false",,"261113663","261113663","0","false","true",
"C","A","20220101","2022","52","2022","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","48741003","false","-1","N/A","0","false","48741003","false","0","false",,"414846872","414846872","0","false","true",
"C","A","20220101","2022","52","2022","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24226484","false","8","kg","24226484","false","24226484","false","0","false",,"165091637","165091637","0","false","true",
"C","A","20230101","2023","52","2023","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80785986","false","8","kg","80785986","false","80785986","false","0","false","449903289","424174879.65","449903289","0","false","true",
"C","A","20230101","2023","52","2023","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5369157","false","-1","N/A","0","false","5369157","false","0","false","248376425","223302798.77","248376425","0","false","true",
"C","A","20230101","2023","52","2023","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31768165","false","8","kg","31768165","false","31768165","false","0","false","223531265","206251583.09","223531265","0","false","true",
"C","A","20230101","2023","52","2023","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46635455","false","8","kg","46635455","false","46635455","false","0","false",,"255791427","255791427","0","false","true",
"C","A","20230101","2023","52","2023","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","52629013","false","9","1000u","49869656","false","52629013","false","0","false",,"485091958","485091958","0","false","true",
"C","A","20230101","2023","52","2023","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24016393","false","8","kg","24016393","false","24016393","false","0","false",,"191943298","191943298","0","false","true",
"C","A","20240101","2024","52","2024","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86363769","false","8","kg","86363769","false","86363769","false","0","false","528248988","484868748","528248988","0","false","true",
"C","A","20240101","2024","52","2024","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5820272","false","9","1000u","5061887","false","5820272","false","0","false","275231940","245841043","275231940","0","false","true",
"C","A","20240101","2024","52","2024","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31940256","false","8","kg","31940256","false","31940256","false","0","false","243831743","224445256.28","243831743","0","false","true",
"C","A","20240101","2024","52","2024","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45798856","false","8","kg","45798856","false","45798856","false","0","false",,"341461765","341461765","0","false","true",
"C","A","20240101","2024","52","2024","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45146475","false","-1","N/A","0","false","45146475","false","0","false",,"454154992","454154992","0","false","true",
"C","A","20240101","2024","52","2024","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H6","HS","true","2403","Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24449014","false","8","kg","24449014","false","24449014","false","0","false",,"195065008","195065008","0","false","true",
"C","A","20250101","2025","52","2025","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2401","Tobacco, unmanufactured; tobacco refuse","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","84018553","false","8","kg","84018553","false","84018553","false","0","false","568069830","525992080","568069830","0","false","true",
"C","A","20250101","2025","52","2025","792","TUR","Türkiye","M","Import","0","W00","World","0","W00","World","H6","HS","true","2402","Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6582083","false","-1","N/A","0","false","6582083","false","0","false","343244367","304506808","343244367","0","false","true",
